epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1851.91,1.55571,2.69476,1.75301,1.4304,0,0.51853,0.40209,0.4478,0.24126,0.39243,0.41068,0.35822,0.1585,1.73429,2.95554,1.9553,1.52742,0,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,1934.92,1.54142,2.69669,1.75769,1.43181,0,0.46006,0.47335,0.44543,0.23292,0.39205,0.4343,0.36141,0.1623,1.72305,2.89914,1.83941,1.54376,0,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,2017.99,1.52529,2.65414,1.72057,1.42429,0,0.52886,0.45245,0.47907,0.25278,0.4671,0.41706,0.3914,0.16434,1.70423,2.91484,1.82857,1.51724,0,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,2100.71,1.53706,2.68419,1.72317,1.43505,0,0.51077,0.4878,0.45616,0.23949,0.47783,0.44085,0.38124,0.15907,1.73275,2.9421,1.87814,1.54118,0,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,2184.21,1.52843,2.65958,1.70152,1.42368,0,0.52323,0.43353,0.44439,0.23172,0.44583,0.36628,0.34241,0.14838,1.75229,3.06094,1.89434,1.53543,0,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,2267.51,1.52172,2.63291,1.70242,1.40863,0,0.48458,0.56439,0.49222,0.26094,0.43161,0.49049,0.38507,0.16912,1.73019,2.95667,1.84222,1.52478,0,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,2350.88,1.52509,2.63254,1.68237,1.40501,0,0.53906,0.47976,0.48632,0.26024,0.50482,0.40664,0.39114,0.17199,1.71987,2.94095,1.84667,1.52293,0,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,2433.23,1.4784,2.60945,1.65401,1.39397,0,0.55128,0.49133,0.47578,0.24627,0.4623,0.41025,0.34634,0.15526,1.76933,3.09283,1.88681,1.543,0,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,2515.64,1.50326,2.60181,1.64335,1.39795,0,0.53451,0.45271,0.44237,0.21011,0.46949,0.36938,0.33229,0.13756,1.75583,2.98351,1.86613,1.5532,0,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,2597.98,1.46658,2.53886,1.59815,1.37941,0,0.52419,0.51543,0.49428,0.25339,0.44651,0.41832,0.36018,0.16421,1.7335,2.93449,1.85135,1.54127,0,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,2680.63,1.48178,2.57176,1.61582,1.38686,0,0.58106,0.5027,0.48623,0.23956,0.47111,0.41981,0.36202,0.15217,1.74614,2.89169,1.87021,1.54904,0,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,2763.39,1.4787,2.55963,1.62363,1.38923,0,0.54234,0.51774,0.47761,0.23702,0.46046,0.45261,0.37442,0.15825,1.71422,2.93232,1.87106,1.5376,0,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,2847.04,1.46674,2.58321,1.61438,1.38702,0,0.49196,0.53184,0.4796,0.23106,0.45157,0.43678,0.35524,0.14772,1.72044,3.01536,1.85365,1.51758,0,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,2930.14,1.45964,2.52828,1.58885,1.36722,0,0.55054,0.51929,0.50534,0.25245,0.46799,0.42347,0.37385,0.17282,1.7341,2.98373,1.8475,1.53916,0,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,3013.46,1.45596,2.4981,1.58568,1.37799,0,0.5708,0.48706,0.47375,0.23001,0.51995,0.4497,0.38295,0.16668,1.72202,2.90396,1.81264,1.55186,0,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,3097.07,1.46136,2.53784,1.58206,1.36378,0,0.46365,0.51823,0.45796,0.2283,0.40041,0.40219,0.34875,0.1545,1.7684,3.11225,1.8674,1.56159,0,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,3193.14,1.46664,2.50736,1.59251,1.36648,0,0.49553,0.52906,0.44981,0.22421,0.42969,0.46241,0.34556,0.15275,1.76798,3.03634,1.90507,1.54471,0,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,3286.61,1.4555,2.48523,1.5621,1.35354,0,0.56801,0.48361,0.45612,0.22728,0.50996,0.4235,0.35503,0.14582,1.73385,2.93261,1.82963,1.53736,0,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,3369.48,1.44882,2.46614,1.55918,1.36909,0,0.48356,0.53253,0.47152,0.23525,0.45086,0.48526,0.38521,0.16242,1.71991,2.92314,1.84465,1.55176,0,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,3452.33,1.45198,2.47238,1.55511,1.35176,0,0.5181,0.52834,0.49562,0.24511,0.5088,0.45115,0.39355,0.16866,1.73106,2.9025,1.76295,1.55723,0,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,3537.55,1.417,2.44849,1.4958,1.33582,0,0.51093,0.60846,0.49691,0.23543,0.44607,0.50701,0.38601,0.16626,1.75577,2.96559,1.81679,1.57209,0,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,3622.19,1.45545,2.45281,1.51844,1.35139,0,0.5323,0.51572,0.45691,0.21425,0.42609,0.41286,0.33085,0.13842,1.73767,2.99231,1.84098,1.54282,0,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,3707.97,1.43307,2.43372,1.5226,1.34069,0,0.4681,0.52201,0.45707,0.22069,0.42508,0.45773,0.36573,0.16469,1.76959,2.99281,1.83186,1.57264,0,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,3795.26,1.42232,2.4561,1.50278,1.33539,0,0.53169,0.4816,0.45681,0.22604,0.43403,0.46434,0.37566,0.15752,1.76236,2.93246,1.79708,1.54407,0,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,3878.69,1.41236,2.42171,1.47657,1.32872,0,0.49851,0.48364,0.44914,0.21666,0.42269,0.41887,0.35615,0.15526,1.7719,3.01045,1.87419,1.56956,0,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,3961.84,1.42257,2.41314,1.49525,1.34352,0,0.52207,0.52924,0.45239,0.22584,0.45286,0.43553,0.34543,0.16281,1.77735,3.13088,1.86582,1.56952,0,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,4045.23,1.4041,2.37598,1.47232,1.3274,0,0.52149,0.48917,0.47457,0.2384,0.46461,0.43467,0.39589,0.17709,1.74404,2.91399,1.77315,1.56029,0,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,4128.23,1.3995,2.3884,1.45441,1.32405,0,0.47309,0.54656,0.45863,0.22474,0.40295,0.46864,0.35029,0.15915,1.76369,2.99924,1.7879,1.53794,0,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,4211.54,1.41878,2.3947,1.46144,1.31836,0,0.54391,0.48441,0.44986,0.22461,0.48339,0.42457,0.354,0.14735,1.7586,2.96869,1.80293,1.55071,0,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,4294.82,1.40914,2.37539,1.45641,1.32697,0,0.50048,0.48935,0.43714,0.21836,0.41675,0.43192,0.34956,0.1549,1.78199,3.01619,1.8431,1.58532,0,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,4378.28,1.38003,2.38256,1.44134,1.32983,0,0.45244,0.53074,0.43353,0.22111,0.4243,0.49129,0.37148,0.16193,1.78387,2.97164,1.82526,1.5792,0,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,4460.95,1.39925,2.38601,1.43369,1.31689,0,0.48778,0.58206,0.47322,0.23429,0.50223,0.4193,0.37914,0.1679,1.77298,2.95819,1.76881,1.59499,0,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,4544.06,1.3816,2.36368,1.42349,1.31339,0,0.62929,0.51613,0.51976,0.24413,0.56299,0.4524,0.42652,0.17035,1.75267,2.90952,1.73201,1.52847,0,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,4626.59,1.38837,2.3618,1.4165,1.32185,0,0.58589,0.47899,0.48807,0.23399,0.50242,0.42868,0.37949,0.16829,1.77012,3.07254,1.82112,1.55888,0,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,4710.15,1.40887,2.3485,1.41846,1.32152,0,0.52235,0.6099,0.52506,0.24815,0.50576,0.40606,0.37901,0.17359,1.74377,2.93178,1.76287,1.5406,0,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,4808.46,1.36556,2.31671,1.40919,1.29596,0,0.56381,0.50301,0.48173,0.22552,0.48522,0.43051,0.37095,0.16163,1.80714,3.10865,1.793,1.59518,0,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,4893.31,1.37602,2.36502,1.41707,1.3075,0,0.52214,0.55404,0.49251,0.24139,0.44583,0.46504,0.36897,0.16647,1.76293,3.0852,1.79901,1.56136,0,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,4977.17,1.35801,2.28464,1.38348,1.29722,0,0.51546,0.5705,0.46035,0.22525,0.43768,0.47528,0.35489,0.15214,1.78218,3.0309,1.82253,1.57582,0,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,5068.01,1.367,2.34211,1.37761,1.2968,0,0.54776,0.52095,0.47488,0.2345,0.5018,0.43935,0.37441,0.16689,1.75888,2.94392,1.76316,1.54986,0,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,5150.2,1.37075,2.31198,1.37788,1.29872,0,0.52174,0.52519,0.48371,0.22666,0.49116,0.41098,0.37008,0.15734,1.80061,3.04171,1.83221,1.59656,0,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,5233.48,1.36371,2.28504,1.37903,1.29595,0,0.52973,0.5376,0.45935,0.21819,0.43303,0.44164,0.34632,0.14695,1.79938,3.02543,1.81148,1.55965,0,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,5321.78,1.37695,2.33521,1.38667,1.29778,0,0.53144,0.55109,0.4753,0.2325,0.45056,0.47252,0.3519,0.15657,1.80184,3.13515,1.79897,1.56889,0,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,5407.14,1.3583,2.3221,1.36716,1.29152,0,0.48746,0.59092,0.48368,0.24356,0.50553,0.43372,0.37517,0.17291,1.77346,2.96846,1.74997,1.5689,0,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
